"study_id","source","contrast","accepted_canonical_name","log2_fold_change","p_value","fdr","synthetic_seed"
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Alanine",0.696692243961551,0.00520842846179948,0.0148123893833751,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Alanine",0.418965465559351,0.0178174462337642,0.0289910989566333,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Glutamine",-0.385766509831019,0.0234070108619882,0.0325662759818966,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Glutamine",0.646684153158387,0.00769776445579951,0.0142112574568606,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Glutamine",-0.152078065669533,0.0609297082032676,0.0729373477979517,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Glutamine",0.498667997956736,0.00248641928250912,0.00749100006443887,20260729
"MOTRPAC-HUMAN-ACUTE","MoTrPAC","post-exercise / pre-exercise","Malate",0.729035806874213,0.00345247059402237,0.00828592942565368,20260729
"MOTRPAC-HUMAN-TRAINING","MoTrPAC","week 8 / baseline","Malate",0.765151843739648,0.00112111910281447,0.00430509735480758,20260729
"ST004303","Metabolomics Workbench","post-exercise / pre-exercise","Malate",0.386698108641823,0.0064684354165179,0.0163413105259399,20260729
"ST003807","Metabolomics Workbench","trained / baseline","Malate",0.958707250286907,0.000239882839249684,0.00419235918309871,20260729
