record_key,screen_class,evidence_tier,species_scope,species_basis,screen_basis,review_status,title,authors,journal,publication_year,publication_types,is_preprint,has_preprint_version,linked_published_doi,doi,pmid,pmcid,cited_by_count,abstract_available,human_evidence,exercise_evidence,metabolomics_evidence,genetics_evidence,cpet_evidence,actigraphy_evidence,body_composition_evidence,diet_evidence,intervention_design,subject_term_evidence,homonym_risk,data_availability_evidence,accessions_in_record_text,source_systems,cross_source_conflicts,record_url,source_urls
doi:10.1038/s42255-025-01377-9,direct_human_exercise,peer_reviewed_primary,human_and_animal,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Lac-Phe induces hypophagia by inhibiting AgRP neurons in mice,"Liu H, Li VL, Liu Q, Liu Y, Su C, Wong H, Yin N, Liu H, Fang X, McDermott KM, Wong H, Yu M, Tu L, Bean JC, Li Y, Wang M, Deng Y, Shi Y, Ginnard OZ, Yang Y, Han J, Burt ME, Jossy SV, Wang C, Yang Y, Arenkiel BR, Kong D, He Y, Long JZ, Xu Y.",Nature metabolism,2025,journal article; research-article,false,false,,10.1038/s42255-025-01377-9,40957996,PMC13063381,7,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,not_stated_in_retrieved_text,subject_name_in_title,no_homonym_signal,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/40957996,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.5114/biolsport.2025.145912,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,N-Lactoyl amino acids as metabolic biomarkers differentiating low and high exercise response,"Sellami M, Naja K, Almuraikhy S, Anwardeen N, Sultanov RI, Generozov EV, Ahmetov II, Elrayess MA.",Biology of sport,2025,journal article; research-article,false,false,,10.5114/biolsport.2025.145912,40182705,PMC11963115,7,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,interventional_exercise_bout_or_program,subject_name_in_abstract,no_homonym_signal,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/40182705,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1186/s12877-025-05832-w,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,"Association between physical activity, trouble sleeping, and obesity among older Americans: a cross-sectional study based on NHANES data from 2007 to 2018","Hou X, Wang H, Yang Z, Jia Y, Lv Y, Dong X.",BMC geriatrics,2025,journal article; research-article,false,false,,10.1186/s12877-025-05832-w,40069615,PMC11895367,6,true,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,yes:text_inference,observational_cohort_or_cross_sectional,subject_name_absent_from_title_and_abstract,not_assessed_subject_name_not_located,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/40069615,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D
doi:10.1186/s13293-025-00780-x,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Sexual dimorphism in the serum metabolome following acute exhaustive exercise,"Wu B, Tang C, Ren Z, Qian J, Deng Y, Fan Z, Zhang Y, Shi L.",Biology of sex differences,2025,"journal article; research support, non-u.s. gov't; research-article",false,false,,10.1186/s13293-025-00780-x,41199406,PMC12593952,5,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,yes:text_inference,no_signal:text_inference,yes:text_inference,yes:text_inference,observational_cohort_or_cross_sectional,subject_name_absent_from_title_and_abstract,not_assessed_subject_name_not_located,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/41199406,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D
doi:10.1210/clinem/dgaf296,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Maternal Physical Activity and Its Relationship to the Human Milk Metabolome and Infant Body Composition,"Lu C, Dreyfuss JM, Hua T, Wolfs D, Nagel EM, Peña A, Lock EF, Seburg E, Pierce S, Kyere-Davies G, Johnson KE, Uniyal A, Tu J, Gale CA, Blekhman R, Kiebish M, Aristizabal-Henao JJ, Short KR, Rudolph MC, Demerath EW, Fields DA, Isganaitis E.",The Journal of clinical endocrinology and metabolism,2025,"journal article; research support, n.i.h., extramural; research support, non-u.s. gov't; research-article",false,false,,10.1210/clinem/dgaf296,40417941,PMC12712960,5,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,no_signal:text_inference,interventional_exercise_bout_or_program,subject_name_absent_from_title_and_abstract,not_assessed_subject_name_not_located,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/40417941,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D
doi:10.1152/ajpendo.00037.2025,direct_human_exercise,peer_reviewed_primary,human_and_animal,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Gut lactate increases circulating l-Lac-Phe and key metabolites linked to GLP-1 and human health,"Ghias E, Pedersen MGB, Nielsen CB, Bech LV, Modvig IM, Zubanovic NB, Seefeldt JM, Nielsen RR, Søndergaard E, Frisch K, Hansen J, Holst JJ, Møller N, Rittig N, Johannsen M.",American journal of physiology. Endocrinology and metabolism,2025,journal article,false,false,,10.1152/ajpendo.00037.2025,40418349,,4,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,not_stated_in_retrieved_text,subject_name_in_title,no_homonym_signal,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/40418349,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.3389/fspor.2025.1600714,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,"Proof-of-concept of a prior validated LC-MS/MS method for detection of N-lactoyl-phenylalanine in dried blood spots before, during and after a performance diagnostic test of junior squad triathletes","Bauhaus H, Möller T, Keller S, Thomas A, Braun H, Wahl P, Thevis M",Frontiers in Sports and Active Living,2025,journal-article,false,false,,10.3389/fspor.2025.1600714,41098478,PMC12518242,2,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,not_stated_in_retrieved_text,subject_name_in_title,no_homonym_signal,no_accession_in_retrieved_text,,crossref; europe_pmc,"title: proof-of-concept of a prior validated lc-ms/ms method for detection of n -lactoyl-phenylalanine in dried blood spots before, during and after a performance diagnostic test of junior squad triathletes != proof-of-concept of a prior validated lc-ms/ms method for detection of n-lactoyl-phenylalanine in dried blood spots before, during and after a performance diagnostic test of junior squad triathletes",https://doi.org/10.3389/fspor.2025.1600714,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance; https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance; https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1249/mss.0000000000003800,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Dynamic Metabolic Changes Driven by Exercise Intensity in Acute Swimming,"Tang C, Wu B, Deng Y, Liu S, Zeng X, Ren J, Zhang Y, Zhao LI, Shi L.",Medicine and science in sports and exercise,2025,journal article; randomized controlled trial; research-article,false,false,,10.1249/mss.0000000000003800,40601479,PMC12893147,1,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,not_stated_in_retrieved_text,subject_name_absent_from_title_and_abstract,not_assessed_subject_name_not_located,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/40601479,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1371/journal.pone.0288996,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,Responsiveness to endurance training can be partly explained by the number of favorable single nucleotide polymorphisms an individual possesses,"Chung HC, Keiller DR, Swain PM, Chapman SL, Roberts JD, Gordon DA.",PloS one,2023,journal article; randomized controlled trial; research-article,false,false,,10.1371/journal.pone.0288996,37471354,PMC10358902,1,true,yes:text_inference,yes:text_inference,no_signal:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,not_stated_in_retrieved_text,subject_name_absent_from_title_and_abstract,not_assessed_subject_name_not_located,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/37471354,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D
doi:10.1038/s44321-026-00408-6,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,"The anti-obesogenic metabolite, Lac-Phe, is elevated by metformin treatment in prostate cancer patients","Bilusic M, Gannamedi DP, Challu B, Ferdous S, Mateo-Victoriano B, Pokharel S, Bayik D, Sharma J, Lombard DB, Rai P.",EMBO molecular medicine,2026,journal article; randomized controlled trial; research-article,false,false,,10.1038/s44321-026-00408-6,41942753,PMC13179383,,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,randomized_controlled_trial,subject_name_in_title,no_homonym_signal,no_accession_in_retrieved_text,,europe_pmc,,https://europepmc.org/article/MED/41942753,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A
doi:10.1186/s12902-026-02441-5,direct_human_exercise,peer_reviewed_primary,human,title_abstract_text,tier=peer_reviewed_primary; species_basis=title_abstract_text; text_basis=text_with_abstract,requires_human_review,The effect of blood flow restriction training on abdominal visceral fat and plasma N-lactoylphenylalanine among adults with obesity,"Li S, Cui T, Li S, Zheng X",BMC Endocrine Disorders,2026,journal-article,false,false,,10.1186/s12902-026-02441-5,,,,true,yes:text_inference,yes:text_inference,yes:text_inference,no_signal:text_inference,no_signal:text_inference,no_signal:text_inference,yes:text_inference,yes:text_inference,interventional_exercise_bout_or_program,subject_name_in_title,no_homonym_signal,no_accession_in_retrieved_text,,crossref,,https://doi.org/10.1186/s12902-026-02441-5,https://api.crossref.org/works?query.bibliographic=N-lactoylphenylalanine&rows=50&sort=relevance; https://api.crossref.org/works?query.bibliographic=lactoylphenylalanine&rows=50&sort=relevance
