"metabolite","log2fc","p_value","fdr","neg_log10_p","provenance"
"Feature_027",-0.441845640196587,0.00129207160626784,0.00979725521863933,2.88871341718826,"synthetic_seed_20260712"
"Feature_028",-0.24745218474008,0.00169682999979015,0.00979725521863933,2.77036166613922,"synthetic_seed_20260712"
"Feature_029",0.158471976871148,0.0231521501910369,0.0519511662823268,1.6354086688906,"synthetic_seed_20260712"
"Feature_030",1.68120432706991,0.0012645749882101,0.00979725521863933,2.8980554122664,"synthetic_seed_20260712"
"Feature_031",0.884675271215696,0.907984756649356,0.907984756649356,0.0419214424025268,"synthetic_seed_20260712"
"Feature_032",0.840059597699194,0.195697426665272,0.266568056317126,0.708414885085076,"synthetic_seed_20260712"
"Feature_033",-0.278133981634538,0.0229353097523791,0.0519511662823268,1.63949539013673,"synthetic_seed_20260712"
"Feature_034",-0.698870579793965,0.0111480798108996,0.0301653924294931,1.95279993076343,"synthetic_seed_20260712"
"Feature_035",0.193553635642495,0.00209517786057841,0.00979725521863933,2.67877910368145,"synthetic_seed_20260712"
"Feature_036",0.55029012889142,0.0012239855406264,0.00979725521863933,2.9122237126343,"synthetic_seed_20260712"
"Feature_037",-0.1476118871283,0.700410971175112,0.724020329754049,0.154647059785202,"synthetic_seed_20260712"
"Feature_038",0.208273406588511,0.422343775171067,0.482619537955059,0.37433390240185,"synthetic_seed_20260712"
"Feature_039",0.195816595845168,0.0171440050978407,0.04150653865793,1.76588771282695,"synthetic_seed_20260712"
"Feature_040",-0.747524781013113,0.0781521048469673,0.128392743677161,1.10705932076555,"synthetic_seed_20260712"
"Feature_041",-0.521655349700264,0.197028563364833,0.266568056317126,0.705470809307881,"synthetic_seed_20260712"
"Feature_042",-0.134877466816032,0.719111951933739,0.727014281075868,0.143203493035398,"synthetic_seed_20260712"
"Feature_043",-0.570043814845832,0.00934550371105976,0.0286595447139166,2.02939728572033,"synthetic_seed_20260712"
"Feature_044",-0.497600878494943,0.292599838341359,0.3589224683654,0.533725918154232,"synthetic_seed_20260712"
"Feature_045",-0.190069783736954,0.0332438590037495,0.061168700566899,1.47828856831882,"synthetic_seed_20260712"
"Feature_046",-0.398637239674237,0.507412271094056,0.536573895869577,0.294639034150168,"synthetic_seed_20260712"
"Feature_047",-0.713391127733648,0.0308698035821095,0.0591671235323765,1.51046613383107,"synthetic_seed_20260712"
"Feature_048",-0.764952340813817,0.136786519409858,0.196630621651671,0.863956701112911,"synthetic_seed_20260712"
"Feature_049",-0.711715454165723,0.00933592232425012,0.0286595447139166,2.0298427703185,"synthetic_seed_20260712"
"Feature_050",0.107012774109208,0.00114301028371938,0.00979725521863933,2.94194986221846,"synthetic_seed_20260712"
"Feature_051",0.963177699869709,0.00558013294268364,0.0205348892290758,2.25335545418318,"synthetic_seed_20260712"
"Feature_052",0.306508582564213,0.0214949285619848,0.0507059853257077,1.66766399391461,"synthetic_seed_20260712"
"Feature_053",0.442542105908465,0.00117443820595593,0.00979725521863933,2.93016982905101,"synthetic_seed_20260712"
"Feature_054",0.261051013507817,0.215404128157817,0.283102568435988,0.666745977830142,"synthetic_seed_20260712"
"Feature_055",-0.631307147421908,0.317021766730522,0.378779253755949,0.498910918077454,"synthetic_seed_20260712"
"Feature_056",-0.294404891574502,0.00906056267034932,0.0286595447139166,2.04284483134747,"synthetic_seed_20260712"
"Feature_057",-0.142919336174394,0.0509892888118381,0.0919806778566492,1.29252104544081,"synthetic_seed_20260712"
"Feature_058",0.471042798025623,0.388480966853028,0.45240821456302,0.410630254065618,"synthetic_seed_20260712"
"Feature_059",0.705271767861041,0.260219357315672,0.323515957743809,0.584660400077701,"synthetic_seed_20260712"
"Feature_060",0.543081888017901,0.482469803115353,0.528419308173958,0.31652986315079,"synthetic_seed_20260712"
"Feature_061",0.637637942615822,0.0015732296799462,0.00979725521863933,2.8032078689523,"synthetic_seed_20260712"
"Feature_062",0.71160912239472,0.00282497005645224,0.0112998802258089,2.54898615116719,"synthetic_seed_20260712"
"Feature_063",0.604476013468455,0.0278757432979618,0.0553211170148079,1.55477354346309,"synthetic_seed_20260712"
"Feature_064",-0.319260053537375,0.475962781533276,0.527573203627246,0.322427006117068,"synthetic_seed_20260712"
"Feature_065",-0.495444833684387,0.0277659452749542,0.0553211170148079,1.55648753664456,"synthetic_seed_20260712"
"Feature_066",0.619724622773655,0.119042410315876,0.179539372935419,0.924298288314603,"synthetic_seed_20260712"
"Feature_067",-0.416460269144366,0.10803036455916,0.165646558990712,0.966454158336855,"synthetic_seed_20260712"
"Feature_068",-0.488473232627789,0.234760898527334,0.298863266116863,0.629374236930162,"synthetic_seed_20260712"
"Feature_069",-0.823951776786553,0.0161605516581268,0.0401829933120992,1.79154381819069,"synthetic_seed_20260712"
"Feature_070",1.28815073253124,0.0131202244720506,0.0344874471836758,1.8820587346144,"synthetic_seed_20260712"
"Feature_071",1.22388867094646,0.0250515564024521,0.0536382773716151,1.60116528712213,"synthetic_seed_20260712"
"Feature_072",-0.0720869864933735,0.025653089177729,0.0536382773716151,1.59086032910738,"synthetic_seed_20260712"
"Feature_073",1.00051939348213,0.121605385876939,0.180446701623845,0.915047189826146,"synthetic_seed_20260712"
"Feature_074",0.72439607769402,0.00212983809100855,0.00979725521863933,2.67165341010783,"synthetic_seed_20260712"
"Feature_075",-0.24576022041054,0.0282618749966953,0.0553211170148079,1.54879902883898,"synthetic_seed_20260712"
"Feature_076",-0.175909702158486,0.0771177442202622,0.128392743677161,1.11284568251576,"synthetic_seed_20260712"
"Feature_077",-1.29507394158487,0.00298480940103586,0.0114417693706375,2.52508339609951,"synthetic_seed_20260712"
"Feature_078",0.677810503240224,0.00198812945313304,0.00979725521863933,2.70155534078833,"synthetic_seed_20260712"
"Feature_079",0.0193353911910323,0.00984980860924755,0.028730162895324,2.00657220815774,"synthetic_seed_20260712"
"Feature_080",1.0772237069101,0.298252280305602,0.361042234054149,0.525416227220558,"synthetic_seed_20260712"
"Feature_081",0.365565004895454,0.219163364157604,0.283986331021121,0.659232041765936,"synthetic_seed_20260712"
"Feature_082",-1.0599444098521,0.0520412977763529,0.0920730652966243,1.28365188178606,"synthetic_seed_20260712"
"Feature_083",-0.578034870708526,0.657554749504718,0.687443601754932,0.182068080985919,"synthetic_seed_20260712"
"Feature_084",-0.0286740673683785,0.0146390366427491,0.0374108714203589,1.8344875021372,"synthetic_seed_20260712"
"Feature_085",-0.283760847497397,0.0325338346814763,0.0610839345039962,1.48766474450007,"synthetic_seed_20260712"
"Feature_086",-0.0986078303893617,0.00127069071930277,0.00979725521863933,2.8959601420071,"synthetic_seed_20260712"
"Feature_087",-0.567157922386207,0.424915027982171,0.482619537955059,0.371697908933274,"synthetic_seed_20260712"
"Feature_088",-0.885426485720542,0.237141504636207,0.298863266116863,0.624992428910919,"synthetic_seed_20260712"
"Feature_089",-0.451386365193792,0.00891154507629675,0.0286595447139166,2.05004699181765,"synthetic_seed_20260712"
"Feature_090",-1.0536050175226,0.00117646550389933,0.00979725521863933,2.92942080260254,"synthetic_seed_20260712"
"Feature_091",-1.21512323346255,0.442002050693666,0.49590473980265,0.354575715712272,"synthetic_seed_20260712"
"Feature_092",0.106785107459689,0.201979907359654,0.269306543146205,0.694691831329837,"synthetic_seed_20260712"
