"metabolite","log2fc","p_value","fdr","neg_log10_p","provenance"
"Feature_021",0.0484142630101277,0.0225922757288387,0.0451845514576775,1.64604002022184,"synthetic_seed_20260712"
"Feature_022",-0.0887432543614124,0.331095796952182,0.397314956342619,0.480046332301572,"synthetic_seed_20260712"
"Feature_023",0.743036072462223,0.120363836712496,0.163513136666032,0.919503977159038,"synthetic_seed_20260712"
"Feature_024",-0.15188124384769,0.185393972170023,0.238363678504315,0.731904390449636,"synthetic_seed_20260712"
"Feature_025",-0.114309298642301,0.466683407597654,0.509109171924713,0.330977639690973,"synthetic_seed_20260712"
"Feature_026",0.682608958658502,0.925170932072771,0.925170932072771,0.0337780207768083,"synthetic_seed_20260712"
"Feature_027",-0.183216054148747,0.0247025634133409,0.0468048569936985,1.60725797716528,"synthetic_seed_20260712"
"Feature_028",-1.08234087135549,0.41431554553472,0.458934142746151,0.382668771231547,"synthetic_seed_20260712"
"Feature_029",0.685468119918779,0.00949544705068155,0.0227890729216357,2.02248458363116,"synthetic_seed_20260712"
"Feature_030",-0.385091242345165,0.923449454117195,0.925170932072771,0.0345868710940704,"synthetic_seed_20260712"
"Feature_031",0.277881500339959,0.00289586847780545,0.0130314081501245,2.53822116645984,"synthetic_seed_20260712"
"Feature_032",-0.787201819042975,0.00481570045945747,0.0144471013783724,2.31734053438529,"synthetic_seed_20260712"
"Feature_033",0.194397213766976,0.00104360626885054,0.00984256672837519,2.98146332079545,"synthetic_seed_20260712"
"Feature_034",0.476105164176881,0.00106958458628582,0.00984256672837519,2.97078486429062,"synthetic_seed_20260712"
"Feature_035",-0.00706276190620166,0.0815952276621899,0.11587903982227,1.08833524149843,"synthetic_seed_20260712"
"Feature_036",0.0170447376497275,0.00239097888230369,0.0114766986350577,2.62142425965983,"synthetic_seed_20260712"
"Feature_037",-0.471869535309681,0.00633991268758082,0.0175566812886853,2.19791672312189,"synthetic_seed_20260712"
"Feature_038",0.385796584717396,0.398575765253408,0.455515160289609,0.399489111397415,"synthetic_seed_20260712"
"Feature_039",-0.747778081911626,0.0693298006815514,0.101872360185137,1.15908004836645,"synthetic_seed_20260712"
"Feature_040",0.63706756782874,0.00235985515007535,0.0114766986350577,2.62711465357803,"synthetic_seed_20260712"
"Feature_041",-0.187954628851697,0.00355994985661648,0.013612434600802,2.44855611920357,"synthetic_seed_20260712"
"Feature_042",0.0683036220366679,0.00466738662530421,0.0144471013783724,2.33092622262426,"synthetic_seed_20260712"
"Feature_043",-0.311778325144373,0.00450705687754566,0.0144471013783724,2.34610696124379,"synthetic_seed_20260712"
"Feature_044",-0.0600105856809597,0.0143477801556078,0.0303835344471695,1.84321528643835,"synthetic_seed_20260712"
"Feature_045",-0.581995396426657,0.0298258034619337,0.0512833902400695,1.52540784826502,"synthetic_seed_20260712"
"Feature_046",0.566273774455389,0.163652649121472,0.214236195213563,0.786076960172504,"synthetic_seed_20260712"
"Feature_047",0.770990375921969,0.767129433306928,0.789047417115697,0.115131353875622,"synthetic_seed_20260712"
"Feature_048",-0.266421086378152,0.00204900469634848,0.0114766986350577,2.68845704618841,"synthetic_seed_20260712"
"Feature_049",-0.173991933439948,0.497760017020777,0.534906286947701,0.302979991384782,"synthetic_seed_20260712"
"Feature_050",-0.552656828039474,0.0209045365083408,0.0430036179600153,1.6797594571067,"synthetic_seed_20260712"
"Feature_051",0.939655489244484,0.00228279744835159,0.0114766986350577,2.64153262156528,"synthetic_seed_20260712"
"Feature_052",-0.182375497817168,0.35320693880566,0.416899993344386,0.451970773227513,"synthetic_seed_20260712"
"Feature_053",-1.01345565678563,0.0539341248988992,0.0862945998382387,1.26813636346254,"synthetic_seed_20260712"
"Feature_054",-0.199336101622944,0.0237018801138309,0.0461225775188061,1.6252172029065,"synthetic_seed_20260712"
"Feature_055",-0.461088520099526,0.00359217024187832,0.013612434600802,2.44464308922179,"synthetic_seed_20260712"
"Feature_056",0.933407832656539,0.252224935666659,0.313106816689646,0.598211980066262,"synthetic_seed_20260712"
"Feature_057",-0.255422249790675,0.0267285275932303,0.0482190931984117,1.57302496476565,"synthetic_seed_20260712"
"Feature_058",0.380622789185405,0.407834406424139,0.458813707227157,0.389516138317995,"synthetic_seed_20260712"
"Feature_059",-0.0424555934232472,0.033226052190051,0.0556343199461319,1.47852125709411,"synthetic_seed_20260712"
"Feature_060",-0.146089982960783,0.362689718368841,0.421188060041235,0.440464755748399,"synthetic_seed_20260712"
"Feature_061",1.06494549500343,0.0132053134354876,0.0288115929501547,1.8792512861127,"synthetic_seed_20260712"
"Feature_062",-0.450702157681199,0.00123256531847026,0.00986052254776206,2.90919005647302,"synthetic_seed_20260712"
"Feature_063",0.590948239920731,0.0041958795988871,0.0143858729104701,2.37717698241584,"synthetic_seed_20260712"
"Feature_064",2.22196953271967,0.00407700450653128,0.0143858729104701,2.38965880849864,"synthetic_seed_20260712"
"Feature_065",0.539726892639804,0.00755371363051965,0.0198993788204936,2.12183948377147,"synthetic_seed_20260712"
"Feature_066",-0.745408705935784,0.63940478589921,0.677016832128576,0.194224117388949,"synthetic_seed_20260712"
"Feature_067",0.267012241918131,0.0299153109733739,0.0512833902400695,1.52410647825338,"synthetic_seed_20260712"
"Feature_068",-0.0155559462021517,0.112590262464852,0.155894209566718,0.948499168460257,"synthetic_seed_20260712"
"Feature_069",0.80429098217578,0.0662487299161074,0.0993730948741611,1.17882244336419,"synthetic_seed_20260712"
"Feature_070",0.277293210045476,0.00508479611326657,0.0146442128062077,2.29372645644005,"synthetic_seed_20260712"
"Feature_071",0.871542099203742,0.00809516481462825,0.0200983402294219,2.09177430474199,"synthetic_seed_20260712"
"Feature_072",-0.0134722154268481,0.00109361852537502,0.00984256672837519,2.96113414163701,"synthetic_seed_20260712"
